"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Dermatocarpon_miniatum",2.50087180785168,2.48463521912726,0.528211758492845,0.522893217363266
"Desbordesia_glaucescens",1.84504907190163,1.82463973159735,0.679582564016905,0.660204560252008
"Deschampsia_cespitosa",0.887550483671419,0.856610487438214,0.42726931565974,0.421602257407235
"Deschampsia_flexuosa",1.88854702578344,1.86725020429445,0.391119810928228,0.39741612378104
"Desmos_chinensis",1.53794132199244,1.51823577764583,0.498233923470897,0.491959554606371
"Desmos_filipes",-0.290578924520017,-0.305859880932297,0.498233923470898,0.505427813520668
"Dicksonia_squarrosa",-0.690888844088338,-0.731031925656547,0.458296164176381,0.452042373440819
"Dicorynia_guianensis",-0.253539306049158,-0.276440280689083,0.51973939044741,0.529125299474283
"Dicranopteris_linearis",-0.544322445476529,-0.558147505216268,0.418606452898888,0.417020159797134
"Dicranum_fuscescens",-0.299673699715975,-0.332492386217575,0.500165127634326,0.498796908749407
"Dicranum_montanum",0.0672491113291708,0.0454844500428335,0.500165127634301,0.499907999417475
"Dicymbe_altsonii",0.18727487835931,0.162095043083491,0.526861898882845,0.514731521862373
"Diervilla_lonicera",2.7634292494907,2.73951596096498,0.496802938332984,0.495285163916288
"Diervilla_rivularis",2.83432506929908,2.80776976304275,0.496802938332967,0.48849415383366
"Digitalis_purpurea",2.56342826617093,2.54457759574726,0.423506459452704,0.427707737302656
"Dillenia_indica",-0.442722995791961,-0.472058580127955,0.50603781003874,0.514567773666901
"Dioon_spinulosum",0.172255903383502,0.135931230189113,0.506037810038737,0.526519301896399
"Diospyros_virginiana",1.49076516118135,1.46548393419392,0.445285205382667,0.444305657628003
"Diphasiastrum_complanatum",0.109105383362491,0.0833976072671888,0.489161703539944,0.484862994699301
"Diplazium_sandwichianum",0.854729261321322,0.830596144793298,0.481657781613401,0.484580412005512
"Diploblechnum_fraseri",-0.249649249732079,-0.283442291219883,0.514855066774517,0.519021024421267
"Diplopterygium_pinnatum",-0.437814412248584,-0.45086572951663,0.536010387442606,0.540674643417717
"Diplotropis_purpurea",-0.171188435148613,-0.191247193909193,0.366874034161945,0.361993762282227
"Dipsacus_fullonum",2.16490933758115,2.13391550326897,0.547278827858845,0.53525870923668
"Dirca_palustris",2.29478522339214,2.27493229135058,0.496802938332975,0.498473672018835
"Discaria_toumatou",1.99347968646839,1.95340616284173,0.497974347055911,0.494908365284545
"Dodonaea_viscosa",1.03147895535022,1.02735585984419,0.44047904622773,0.445330079001109
"Doliocarpus_dentatus",0.227022384796799,0.213434921448776,0.558356229974278,0.551981088301184
"Dracocephalum_moldavica",1.85458492916903,1.83329914807087,0.419373641102518,0.41827132793252
"Drosera_rotundifolia",1.32767014750172,1.30956031174196,0.489161703539953,0.483251005477139
"Dryas_integrifolia",0.439772020419243,0.409648155842665,0.44202404597984,0.447943924654532
"Dryas_octopetala",0.251242117159605,0.226824796696805,0.424336241776126,0.421726355193316
"Drymaria_leptophylla",1.25691264757769,1.23198127287444,0.500107462911577,0.492479374111667
"Dryopteris_wallichiana",0.433931614240654,0.412862836556123,0.536010387442617,0.530643758295245
"Duchesnea_indica",1.97172219868547,1.9488719304308,0.503395288730173,0.50408397486701
"Duranta_serratifolia",1.05781852345557,1.01764235306985,0.53475829800276,0.550223043359801
"Dussia_munda",0.818137704911585,0.80460765274563,0.558356229974286,0.547031864939333
"Echinochloa_clandestinum",1.09749888766791,1.07177877431015,0.494255004448811,0.490440240966931
"Echinops_gmelini",1.74388492605856,1.72262147845915,0.419373641102526,0.417925598601517
"Ehrharta_diplax",0.27299593427009,0.253159615739616,0.436401883744236,0.43659827895931
"Elaeagnus_angustifolia",2.79128131507952,2.76457343813223,0.437775951257586,0.441981940722211
"Elaeagnus_commutata",2.55379940511881,2.54006326502538,0.496802938332968,0.490802632925333
"Elaeagnus_multiflora",0.170892023101181,0.134448538944928,0.496802938332971,0.496712614398189
"Elaeagnus_pungens",1.29776624125613,1.27447646320723,0.444165249313701,0.43981083148827
"Elaeagnus_umbellata",0.768728978854929,0.730543127178622,0.49680293833297,0.49573122488526
"Elaeocarpus_fleuryi",1.52315967452885,1.51300432009174,0.444165249313694,0.44181910274156
"Elaeocarpus_japonicus",0.805385913920224,0.789518824069054,0.417717220232382,0.409833636975702
"Elaeocarpus_sylvestris",1.00803401476232,0.980151303998601,0.45333380175952,0.451951851228694
"Elaphoglossum_alatum",-0.0669273666845349,-0.104954762669891,0.554893081258106,0.549185615845651
"Elaphoglossum_crassicaule",-0.168461662862555,-0.178797131195365,0.536010387442599,0.543106449615532
"Elaphoglossum_gayanum",-0.0283101660474057,-0.0453355432340792,0.513269368925242,0.519379048492807
"Elaphoglossum_parvisquameum",0.134515518354663,0.127175906960016,0.53601038744263,0.538182301256288
"Eleocharis_acuta",1.24442605908809,1.23073160024909,0.539455414307688,0.517396021349396
"Eleusine_indica",0.370912593303937,0.338189824766012,0.494255004448815,0.50131124679691
"Elymus_elymoides",1.30129640445196,1.28534756834435,0.500107462911574,0.488506458980174
"Elymus_repens",1.44827417724651,1.42412902080776,0.489161703539962,0.499279346182438
"Empetrum_nigrum",1.04969922080968,1.02291432385844,0.383839329003686,0.393292214603423
"Encephalartos_hildebrandtii",0.23622039704926,0.210225920644024,0.498233923470896,0.509328597796064
"Encephalartos_lehmannii",-0.0268316191909901,-0.0468373270855433,0.506037810038735,0.509163368921677
"Endocomia_macrocoma",0.128599675365018,0.112127243312672,0.498233923470898,0.480514542483908
"Eperua_falcata",-0.00293676074477334,-0.0279498421261045,0.366528931360801,0.369852295472241
"Eperua_grandiflora",0.396316260024489,0.355054960427487,0.526861898882845,0.515186294330318
"Ephedra_distachya",0.716126316205445,0.698642534770899,0.50603781003874,0.487065928761139
"Ephedra_sinica",1.38701807963616,1.35923177595541,0.419373641102523,0.428987658436568
"Epilobium_angustifolium",1.91438499193376,1.89140081970571,0.382780158071151,0.376677782686323
"Epilobium_brachycarpum",1.46733551550742,1.46234889938293,0.500107462911562,0.511538564501198
"Epilobium_hirsutum",1.91495856190141,1.89337542211192,0.40301855420242,0.397568901962435
"Epilobium_palustre",0.701530610399356,0.659293468852913,0.493555102107461,0.493363251878902
"Equisetum_fluviatile",2.15697468807465,2.11616976505354,0.490265091478155,0.476403884055376
"Equisetum_giganteum",1.49942738222772,1.45975515557712,0.50603781003874,0.507605029977373
"Equisetum_hyemale",0.324535612916252,0.304444930059313,0.506037810038745,0.504682734359281
"Equisetum_palustre",1.90116812072326,1.8817956665653,0.49026509147816,0.490333337186813
"Equisetum_ramosissimum",1.53889791351658,1.50893157064651,0.404039203227728,0.411141577371695
"Equisetum_sylvaticum",1.1164374144686,1.09488485661233,0.427269315659734,0.431351188525624
"Eragrostis_cilianensis",1.64676106116523,1.6227753587452,0.444165249313709,0.447850090198658
"Eragrostis_mexicana",2.002635179514,1.96980025419941,0.500107462911565,0.484795500794463
"Eremogone_lychnidea",1.81601533340373,1.78155109937233,0.500753815983557,0.514638155427621
"Eremophila_glabra",1.20760054274302,1.20463571992582,0.559840810388497,0.55559359805925
"Eremophila_longifolia",0.387121647310485,0.370190443278618,0.559840810388493,0.557788587706202
"Eremophila_mitchellii",0.670810257017604,0.638481009739506,0.559840810388486,0.555735661703613
"Erica_cinerea",0.79986157176866,0.781537410030914,0.485013674191372,0.459889147834708
"Erica_tetralix",1.27175523259273,1.24925334493112,0.496238943614415,0.476639326948955
"Ericameria_nauseosa",1.75777401603105,1.74226076634522,0.500107462911577,0.491773498006093
"Erigeron_bonariensis",1.53611132015722,1.51702589097045,0.511649115090384,0.535964094268867
"Erigeron_canadensis",2.414669254515,2.39125794669349,0.485013674191364,0.493512611863077
"Erigeron_caucasicus",1.83548629317322,1.80046189695596,0.500753815983541,0.497354968451307
"Erigeron_colomexicanus",1.69931932800591,1.68095918553326,0.500107462911567,0.500089170544638
"Erigeron_divergens",1.96416990075641,1.93675457137732,0.500107462911571,0.503781711838068
"Erigeron_flagellaris",2.13712039948757,2.12471310802483,0.500107462911575,0.495548077588492
"Erigeron_formosissimus",2.10580706429344,2.09777474313735,0.500107462911575,0.502137856161068
"Eriogonum_alatum",1.71210260929587,1.69705851446063,0.50010746291157,0.495634323875673
"Eriogonum_pharnaceoides",1.66555700197489,1.65902128207785,0.500107462911581,0.475991785897283
"Eriogonum_racemosum",1.12358415992191,1.1236393145305,0.500107462911576,0.509697091445785
